Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2015,302,United States,State Department,2015004774,Iraq,Middle East,ODA Grants,65.6,302,CONTRIBUTION TOWARDS UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR)S MIDDLE EAST AND NORTH AFRICA ANNUAL BUDGET ACTIVITIES ??IRAQIS,Contribution Towards United Nations High Commissioner for Refugees (UNHCR)s Middle East and North Africa Annual Budget Activities ??Iraqis,Public Administration,Duhok,36.83346,42.98362,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2015-01-01 00:00:00,2015-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",138,39,138,242
2014,302,United States,State Department,2014023177,Iraq,Middle East,ODA Grants,63.8,302,SECOND TRANCHE CONTRIBUTION TOWARDS UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR) S IRAQIS GNA ANNUAL BUDGET ACTIVITIES,Second Tranche Contribution Towards United Nations High Commissioner for Refugees (UNHCR) s Iraqis Gna Annual Budget Activities,Public Administration,Duhok,36.83356,42.98331,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143. Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",127,39,127,241
2016,5,Germany,Federal Ministry for Economic Cooperation and Development,2016006204,Iraq,Middle East,ODA Grants,59.161783,302,CASH FOR WORK-INITIATIVE IN NORTHERN IRAQ,Cash for Work-Initiative in northern Iraq,IT,Erbil,36.1884,43.96732,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2016-04-01 00:00:00,2017-03-31 00:00:00,"Temporary stabilisation of vulnerable households of refugees, IDPs and host community members in Northern Iraq. Internally displaced persons, refugees and host community members take advantage of a range of temporary income and employment opportunities in the Kurdish provinces of Dohuk, Erbil and Sulaymaniyah.","Germany, Federal Ministry for Economic Cooperation and Development",41,58,41,311
2017,5,Germany,Federal Foreign Office,2017007710,Iraq,Middle East,ODA Grants,52.417991,302,HUMANITARIAN ASSISTANCE - PROTECTION AND ASSISTANCE,Humanitarian Assistance - Protection and assistance,Public Administration,Nineveh,36.0172,42.73914,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2015-06-24 00:00:00,2018-12-31 00:00:00,"The Germany-funded humanitarian assistance project in Iraq during 2015, implemented by the United Nations High Commissioner for Refugees (UNHCR), aimed to provide protection and assistance to internally displaced persons (IDPs) affected by ongoing conflict. With a budget of €12 million, the project focused on enhancing the safety and well-being of IDPs through various interventions, including legal aid, psychosocial support, and the establishment of safe spaces. The initiative was part of Germany's broader commitment to addressing the humanitarian crisis in Iraq, as reflected in its financial contributions to the Iraq Humanitarian Response Plan for that year.","Germany, Federal Foreign Office",51,41,51,65
2017,302,United States,State Department,2017009477,Iraq,Middle East,ODA Grants,52.0975,302,CONVENTIONAL WEAPONS DESTRUCTION AND MINE ACTION,Conventional Weapons Destruction and Mine Action,IT,Sulaymaniyah,35.55613,45.43497,15250,Removal of land mines and explosive remnants of war,152,"I.5.b. Conflict, Peace & Security",2016-04-01 00:00:00,2016-12-31 00:00:00,"Conventional Weapons Destruction and Mine Action [through JANUS Associates, Inc.]","United States, State Department",48,51,48,81
2013,302,United States,State Department,2013024536,Iraq,Middle East,ODA Grants,50.34,302,SECOND CONTRIBUTION TOWARDS UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR) S IRAQIS (GNA) ANNUAL BUDGET ACTIVITIES,Second Contribution Towards United Nations High Commissioner for Refugees (UNHCR) s Iraqis (Gna) Annual Budget Activities,Public Administration,Duhok,36.83324,42.98345,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143. Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",121,39,121,241
2016,5,Germany,Federal Ministry for Economic Cooperation and Development,2016005627,Iraq,Middle East,ODA Grants,49.762247,302,"IMPROVEMENT OF LIVING CONDITIONS OF IDPS AND HOST COMMUNITIES IN DOHUK, NORTHERN IRAQ","Improvement of living conditions of IDPs and host communities in Dohuk, northern Iraq",IT,Erbil,36.16857,44.0228,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2016-05-01 00:00:00,2018-12-31 00:00:00,"The Germany-funded project aimed at improving the living conditions of internally displaced persons (IDPs) and host communities in the Dohuk and Erbil governorates of the Kurdistan Region of Iraq. Implemented in 2016, the initiative focused on stabilizing households affected by displacement, refugees, and host populations. Key interventions included enhancing the capacities of local governmental structures responsible for education, vocational training, and social affairs, enabling them to better deliver services to these communities. The project contributed to the stabilization of a region heavily impacted by the consequences of conflict.","Germany, Federal Ministry for Economic Cooperation and Development",85,58,85,487
2020,918,EU Institutions,European Commission,2020900479,Iraq,Middle East,ODA Grants,47.67053,918,EU ADVISORY MISSION IN SUPPORT OF SECURITY SECTOR REFORM IN IRAQ,EU Advisory Mission in support of Security Sector Reform in Iraq,IT,Anbar,33.22319,43.67929,15210,Security system management and reform,152,"I.5.b. Conflict, Peace & Security",2020-04-18 00:00:00,2022-04-30 00:00:00,EU Advisory Mission in support of Security Sector Reform in Iraq,"EU Institutions, European Commission",64,37,64,64
2018,918,EU Institutions,European Commission,2018000956,Iraq,Middle East,ODA Grants,47.208781,918,HIP 2018: IRAQ,HIP 2018: IRAQ,Public Administration,Anbar,33.22319,43.67929,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2018-01-09 00:00:00,2019-12-31 00:00:00,HIP 2018: IRAQ,"EU Institutions, European Commission",14,39,14,14
2017,5,Germany,Federal Ministry for Economic Cooperation and Development,2017005574,Iraq,Middle East,ODA Grants,45.090745,302,STABILISATION FACILITY (UNITED NATIONS DEVELOPMENT PROGRAMME),Stabilisation facility (United Nations Development Programme),IT,Nineveh,36.33551,43.11838,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2017-10-01 00:00:00,2019-02-28 00:00:00,"Germany's 2017 contribution to the United Nations Development Programme's (UNDP) Funding Facility for Stabilization (FFS) focused on strengthening Iraq's legal capacity and efficiency in stabilization and reconstruction efforts. The initiative aimed to support the Iraqi government in its crisis response and recovery by enhancing institutional capacities and facilitating the rehabilitation of critical infrastructure in areas affected by conflict. This contribution was part of Germany's broader commitment to Iraq's stabilization, building upon previous support to the FFS","Germany, Federal Ministry for Economic Cooperation and Development",61,58,61,143
2017,5,Germany,Federal Ministry for Economic Cooperation and Development,2017006198,Iraq,Middle East,ODA Grants,45.090745,302,"STABILISATION AND EMPLOYMENT, FFIS/ICRRP","Stabilisation and employment, FFIS/ICRRP",Public Administration,Nineveh,36.33157,43.1216,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-07-15 00:00:00,2020-06-30 00:00:00,"Germany's 2017 initiative aimed to provide short-term employment and income opportunities for approximately 14,500 individuals in Iraq, focusing on internally displaced persons (IDPs), returnees, and host communities. Implemented through the Funding Facility for Immediate Stabilization (FFIS) and the Iraq Crisis Response and Resilience Programme (ICRRP), the project engaged participants in cash-for-work activities such as debris removal, infrastructure rehabilitation, and community services. These efforts not only offered immediate financial relief but also contributed to the stabilization and rebuilding of areas affected by conflict.","Germany, Federal Ministry for Economic Cooperation and Development",40,39,40,100
2017,5,Germany,Federal Foreign Office,2017007745,Iraq,Middle East,ODA Grants,45.090745,302,HUMANITARIAN ASSISTANCE - HUMANITARIAN POOLED FUND,Humanitarian Assistance - Humanitarian Pooled Fund,Public Administration,Nineveh,36.33033,43.11263,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-01-01 00:00:00,2017-12-31 00:00:00,"Germany's financial contribution to the Humanitarian Pooled Fund (HPF) in Iraq in 2017 amounted to approximately $5.9 million. This funding was directed towards enhancing the coordination and delivery of humanitarian assistance to populations affected by conflict and displacement. The HPF facilitated rapid and flexible funding allocations to partners on the ground, ensuring timely responses to urgent needs in various regions of Iraq.","Germany, Federal Foreign Office",50,39,50,54
2018,5,Germany,Federal Ministry for Economic Cooperation and Development,2018006147,Iraq,Middle East,ODA Grants,44.848342,302,"UNDP IRAK, STABILIZATION AND EMPLOYMENT","UNDP Irak, Stabilization and Employment",Public Administration,Nineveh,36.33745,43.11091,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2018-11-01 00:00:00,2021-11-01 00:00:00,"The 2018 Germany-funded project under the UNDP’s Funding Facility for Stabilization (FFS) focused on enhancing stabilization and employment opportunities in areas of Iraq liberated from ISIL. The initiative aimed to provide short-term employment and income opportunities for approximately 14,500 individuals, including internally displaced persons (IDPs), returnees, and host communities. Implemented through cash-for-work programs, the project engaged participants in activities such as debris removal, infrastructure rehabilitation, and community services. These efforts not only offered immediate financial relief but also contributed to the stabilization and rebuilding of areas affected by conflict.","Germany, Federal Ministry for Economic Cooperation and Development",39,39,39,28
2019,5,Germany,Federal Ministry for Economic Cooperation and Development,2019007376,Iraq,Middle East,ODA Grants,44.77779,302,RESILIENCE BUILDING THROUGH EMPLOYMENT GENERATION IN CRISIS AFFECTED COMMUNITIES OF IRAQ,Resilience building through employment generation in crisis affected communities of Iraq,Infrastructure,Nineveh,36.35172,43.15038,16020,Employment creation,160,I.6. Other Social Infrastructure & Services,2019-12-01 00:00:00,2021-12-31 00:00:00,"The 2019 project aimed to provide short-term and medium-term employment opportunities to approximately 16,000 Iraqis, including internally displaced persons (IDPs), returnees, and host community members. Funded by Germany through KfW Development Bank and implemented by UNDP, the initiative focused on enhancing economic resilience by offering cash-for-work programs, vocational training, and support for small and medium-sized enterprises (SMEs). These interventions targeted areas heavily impacted by conflict, aiming to restore livelihoods and promote social cohesion.","Germany, Federal Ministry for Economic Cooperation and Development",88,19,88,88
2013,302,United States,State Department,2013024680,Iraq,Middle East,ODA Grants,44.5,302,THIRD TRANCHE CONTRIBUTION TOWARDS UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR) S IRAQIS (GNA) ANNUAL BUDGET ACTIVITIES,Third Tranche Contribution Towards United Nations High Commissioner for Refugees (UNHCR) s Iraqis (Gna) Annual Budget Activities,Public Administration,Duhok,36.83362,42.98348,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143. Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",128,39,128,241
2016,5,Germany,Federal Ministry for Economic Cooperation and Development,2016005645,Iraq,Middle East,ODA Grants,44.233108,302,"UNDP IRAQ - STABILIZATION, RECONSTRUCTION AND EMPLOYMENT","UNDP Iraq - Stabilization, Reconstruction and Employment",IT,Nineveh,36.34192,43.23288,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2016-08-01 00:00:00,2019-12-31 00:00:00,"This initiative aims to contribute to local stabilization and improve the living conditions of targeted populations in Iraq. Phase 1 of the project consists of two main components: (1) immediate stabilization through the Funding Facility for Immediate Stabilization (FFIS), and (2) strengthening resilience under the Iraq Crisis Response and Resilience Programme (ICRRP). The focus is on areas in central Iraq and northern Iraq that were heavily damaged by Islamist groups and have since been liberated, where many refugees and internally displaced persons have temporarily sought refuge. The project includes activities such as infrastructure rehabilitation, livelihood support, and social cohesion efforts to help rebuild and stabilize communities.","Germany, Federal Ministry for Economic Cooperation and Development",56,58,56,553
2019,918,EU Institutions,European Commission,2019001287,Iraq,Middle East,ODA Grants,42.538901,918,HUMANITARIAN IMPLEMENTATION PLAN 2019 IRAQ,HUMANITARIAN IMPLEMENTATION PLAN 2019 IRAQ,Public Administration,Anbar,33.22319,43.67929,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2019-01-16 00:00:00,2020-12-31 00:00:00,HUMANITARIAN IMPLEMENTATION PLAN 2019 IRAQ,"EU Institutions, European Commission",42,39,42,42
2018,302,United States,Agency for International Development,2018025879A,Iraq,Middle East,ODA Grants,41.5,302,IRAQ TASK ORDER - SWIFT IV,Iraq Task Order - SWIFT IV,IT,Baghdad,33.30735,44.40024,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2014-02-06 00:00:00,2022-02-14 00:00:00,Iraq Task Order under the Support Which Implements Fast Transitions IV (SWIFT IV) IDQ,"United States, Agency for International Development",26,59,26,85
2019,302,United States,Agency for International Development,2019020220B,Iraq,Middle East,ODA Grants,41.375,302,IRAQ GOVERNANCE PERFORMANCE AND ACCOUNTABILITY PROJECT - IGPA,Iraq Governance Performance and Accountability Project - IGPA,Public Administration,Baghdad,33.37039,44.38322,15150,Democratic participation and civil society,151,I.5.a. Government & Civil Society-general,2017-06-26 00:00:00,2021-06-25 00:00:00,"IGPA will support the Iraqi Government to shore up fiscal stability while rapidly and visibly improving service delivery. The project aims to build capacity for Iraqi government service delivery, improve governorate and national government public financial management, and strengthen monitoring and oversight of service delivery and public expenditure.","United States, Agency for International Development",61,42,61,352
2016,5,Germany,Federal Foreign Office,2016007852,Iraq,Middle East,ODA Grants,40.915625,302,HUMANITARIAN ASSISTANCE - FOOD SUPPLIES FOR INTERNALLY DISPLACED PERSONS (IDPS),Humanitarian Assistance - Food supplies for internally displaced persons (IDPs),Public Administration,Duhok,36.76618,42.97076,72040,Emergency food assistance,720,VIII.1. Emergency Response,2016-03-22 00:00:00,2016-12-31 00:00:00,"In 2016, Germany, through the Federal Foreign Office (AA), committed €2.49 million to support the World Food Programme (WFP) in delivering emergency food assistance to IDPs in Iraq. The project aimed to stabilize destitute households of IDPs, refugees, and host communities in northern Iraq, particularly in the governorates of Dohuk, Erbil, and Sulaymaniyah. The assistance included the provision of food supplies to meet the immediate nutritional needs of affected populations.","Germany, Federal Foreign Office",79,25,79,53
2017,302,United States,Agency for International Development,2017025190,Iraq,Middle East,ODA Grants,40,302,AWARD TO THE WFP IS FOR EMERGENCY ASSISTANCE TO POPULATIONS AFFECTED BY THE IRAQ CRISIS,Award to the WFP is for emergency assistance to populations affected by the Iraq crisis,Public Administration,Duhok,36.83332,42.98347,72040,Emergency food assistance,720,VIII.1. Emergency Response,2017-05-26 00:00:00,2018-03-31 00:00:00,"The World Food Programme (WFP), with funding from the U.S. Agency for International Development (USAID), has been providing emergency food assistance to populations affected by the Iraq crisis. One significant implementation site for these efforts is the Domiz Refugee Camp, located in the Dohuk Governorate of the Kurdistan Region of Iraq. Established in April 2012, Domiz Camp has been a primary location for Syrian refugees and has received substantial support from WFP for food distribution and other humanitarian assistance.","United States, Agency for International Development",87,25,87,87
2018,302,United States,Agency for International Development,2018025707,Iraq,Middle East,ODA Grants,39.1,302,GRANT AWARD TO THE WORLD FOOD PROGRAM IN SUPPORT OF THE NEW TRANSITIONAL INTERIM COUNTRY STRATEGIC PLAN (TICSP) FOR IRAQ,Grant Award to the World Food Program in support of the new Transitional Interim Country Strategic Plan (TICSP) for Iraq,Public Administration,Nineveh,36.34336,43.15483,72040,Emergency food assistance,720,VIII.1. Emergency Response,2017-12-26 00:00:00,2019-06-30 00:00:00,"The World Food Programme (WFP), with funding from the U.S. Agency for International Development (USAID), implemented the Transitional Interim Country Strategic Plan (TICSP) in Iraq from January 2018 to June 2019. This plan aimed to transition from emergency assistance to resilience-building and development-focused interventions. Key activities included providing food assistance to internally displaced persons (IDPs) and Syrian refugees, implementing emergency school meals programs, and supporting vocational training initiatives such as the ""Tech for Food"" program. These efforts were concentrated in various regions, including Mosul, where the school meals program reached 87,000 children, and Sulaymaniyah, where the ""Tech for Food"" program was piloted. One significant implementation site was Mosul, where WFP's emergency school meals program was launched. ","United States, Agency for International Development",120,25,120,120
2020,918,EU Institutions,European Commission,2020900342,Iraq,Middle East,ODA Grants,38.746439,918,HUMANITARIAN IMPLEMENTATION PLAN IRAQ 2020,Humanitarian Implementation Plan Iraq 2020,Public Administration,Anbar,33.22319,43.67929,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2020-01-31 00:00:00,2021-12-31 00:00:00,Humanitarian Implementation Plan Iraq 2020,"EU Institutions, European Commission",42,39,42,42
2017,302,United States,Agency for International Development,2017025925,Iraq,Middle East,ODA Grants,38.24701,302,HUMANITARIAN ASSISTANCE - HEALTH SERVICES FOR CONFLICT AFFECTED POPULATIONS IN IRAQ.,Humanitarian Assistance - Health services for conflict affected populations in Iraq.,Public Administration,Anbar,33.03824,40.28437,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2017-09-15 00:00:00,2018-09-30 00:00:00,"The USAID-funded Humanitarian Assistance – Health Services for Conflict-Affected Populations in Iraq project, implemented in partnership with the World Health Organization (WHO) and the European Union Humanitarian Aid (ECHO), aimed to strengthen essential primary, referral, and preventive healthcare services in conflict-affected governorates of Iraq. The project targeted an estimated 800,000 vulnerable individuals, including internally displaced persons (IDPs) in camps and informal settlements, as well as host communities. Key interventions included supporting 22 primary healthcare centers across six governorates—Anbar, Duhok, Erbil, Kirkuk, Ninewa, and Sulaymaniyah—providing over 1.6 million consultations through these centers and approximately half a million consultations via mobile medical clinics. The project also focused on mental health and psychosocial support services, particularly for women, and enhanced Iraq's capacity to detect and respond to communicable disease outbreaks through the Early Warning, Alert, and Response Network (EWARN)","United States, Agency for International Development",84,41,84,84
2020,5,Germany,Federal Ministry for Economic Cooperation and Development,2020005625,Iraq,Middle East,ODA Grants,38.176638,302,STRENGTHENING RESILIENCE IN MANAGING CRISES AND CONFLICTS IN THE PROVINCE OF NINEWA,Strengthening resilience in managing crises and conflicts in the province of Ninewa,Infrastructure,Nineveh,36.16811,43.24733,16050,Multisector aid for basic social services,160,I.6. Other Social Infrastructure & Services,2020-04-01 00:00:00,2023-06-30 00:00:00,The main goal of the project is to strengthen the resilience of the population in the Iraqi province of Ninewa.,"Germany, Federal Ministry for Economic Cooperation and Development",83,41,83,111
2018,5,Germany,Federal Ministry for Economic Cooperation and Development,2018004360,Iraq,Middle East,ODA Grants,38.050277,302,CRISIS-PREVENTIVE RECONSTRUCTION MOSSUL,Crisis-preventive reconstruction Mossul,IT,Nineveh,36.34599,43.14781,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2017-10-01 00:00:00,2020-03-31 00:00:00,"The 2017 project ""Crisis-preventive Reconstruction Mosul"" aimed to strengthen the resilience of vulnerable populations in selected areas of Nineveh Governorate, focusing on rebuilding infrastructure, restoring essential services, and supporting social cohesion to reduce the risk of renewed conflict. This initiative targeted communities heavily affected by violence and displacement to foster stability and improve living conditions.","Germany, Federal Ministry for Economic Cooperation and Development",39,58,39,118
2016,742,Korea,Korea International Cooperation Agency,2016003910,Iraq,Middle East,ODA Grants,36,302,THE PROJECT OF ORGANIZATIONAL CAPACITY BUILDING FOR CRITICAL CARE SERVICES IN THE MEDICAL CITY,The Project of Organizational Capacity Building for Critical Care Services in the Medical City,Health,Baghdad,33.34572,44.37695,12191,Medical services,121,"I.2.a. Health, General",2016-01-01 00:00:00,2023-12-31 00:00:00,"The ""Project of Organizational Capacity Building for Critical Care Services in the Medical City"" commenced in 2016 with funding from the Korea International Cooperation Agency (KOICA). This initiative aimed to establish the Iraq-Korea Critical Care Specialty Hospital (IKCCSH) within Baghdad's Medical City. The project encompassed the construction of a four-story hospital building covering approximately 6,905 square meters, featuring 70 ICU beds, 8 operating rooms, and specialized facilities for cardiac and cerebral catheterization. Additionally, over 2,250 medical devices were provided, including equipment for endoscopic gastrointestinal surgeries and 17 dialysis machines. The project also included the provision and installation of medical equipment, technical assistance such as master planning and capacity building, and pilot management of the hospital","Korea, Korea International Cooperation Agency",94,16,94,231
2014,5,Germany,Federal Ministry for Economic Cooperation and Development,2014006467,Iraq,Middle East,ODA Grants,35.823272,302,WINTERCAMP FOR REFUGEES IN NORTHERN IRAQ,Wintercamp for Refugees in northern Iraq,Public Administration,Nineveh,36.02216,42.73601,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-11-01 00:00:00,2015-06-30 00:00:00,"The plan pursues the aim to improve the living conditions of the inside expelled (IDP) and the local population in the admission area Dohuk in Northern Iraq. Spheres of activity are the construction of firm lodgings in a settlement newly to be established, the winter-firm building of lodgings in shells and support measures in the areas child protection, education, health.","Germany, Federal Ministry for Economic Cooperation and Development",40,39,40,374
2019,302,United States,State Department,2019006131,Iraq,Middle East,ODA Grants,35.8,302,2019 GLOBAL APPEAL/SYRIA 3RP,2019 Global Appeal/Syria 3RP,Public Administration,Nineveh,36.84269,43.76866,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2019-01-01 00:00:00,2019-12-31 00:00:00,"The 2019 Global Appeal/Syria 3RP, funded by the U.S. Population, Migration, and Refugee Assistance appropriation, supported Syrian refugees in Iraq through the UNHCR-led Regional Refugee and Resilience Plan (3RP). A key implementation site was the Bardarash Refugee Camp in the Dohuk Governorate, which reopened in October 2019 to accommodate over 11,000 Syrian refugees fleeing conflict.","United States, State Department",28,39,28,242
